frame.time_epoch,ip.src,ip.dst,frame.len,tcp.port,udp.port,ip.proto,frame.time_delta,tcp.flags,ip.len,icmp.type,tcp.stream,tcp.seq,tcp.ack,ip.flags.df,tcp.window_size,ip.ttl,tcp.analysis.flags,http.request.uri,http.response.code
"1731512847.717206000",,,"86",,,,"0.000000000",,,,,,,,,,,,
"1731512847.717206000",,,"60",,,,"0.000000000",,,,,,,,,,,,
"1731512847.717206000",,,"60",,,,"0.000000000",,,,,,,,,,,,
"1731512847.717206000",,,"86",,,,"0.000000000",,,,,,,,,,,,
"1731512847.717206000",,,"70",,,,"0.000000000",,,,,,,,,,,,
"1731512847.717206000",,,"70",,,,"0.000000000",,,,,,,,,,,,
"1731512847.817127000",,,"90",,,,"0.099921000",,,,,,,,,,,,
"1731512847.817127000",,,"90",,,,"0.000000000",,,,,,,,,,,,
"1731512847.817127000","172.16.121.185","224.0.0.251","81",,"5353,5353","17","0.000000000",,"67",,,,,"False",,"1",,,
"1731512847.817127000",,,"101",,"5353,5353",,"0.000000000",,,,,,,,,,,,
"1731512847.817127000","172.16.121.185","224.0.0.251","119",,"5353,5353","17","0.000000000",,"105",,,,,"False",,"1",,,
"1731512847.817127000",,,"139",,"5353,5353",,"0.000000000",,,,,,,,,,,,
"1731512847.817127000",,,"60",,,,"0.000000000",,,,,,,,,,,,
"1731512847.926976000","172.16.120.222","224.0.0.251","103",,"5353,5353","17","0.109849000",,"89",,,,,"True",,"255",,,
"1731512847.926976000","172.16.123.70","224.0.0.251","119",,"5353,5353","17","0.000000000",,"105",,,,,"True",,"255",,,
"1731512847.926976000",,,"60",,,,"0.000000000",,,,,,,,,,,,
"1731512848.010462000","172.16.122.221","172.16.127.255","110",,"137,137","17","0.083486000",,"96",,,,,"False",,"128",,,
"1731512848.010462000","172.16.122.221","172.16.127.255","110",,"137,137","17","0.000000000",,"96",,,,,"False",,"128",,,
"1731512848.010462000","172.16.122.221","172.16.127.255","110",,"137,137","17","0.000000000",,"96",,,,,"False",,"128",,,
"1731512848.010462000","172.16.126.17","172.16.127.255","110",,"137,137","17","0.000000000",,"96",,,,,"False",,"64",,,
"1731512848.010462000","172.16.121.53","239.255.255.250","212",,"63156,1900","17","0.000000000",,"198",,,,,"False",,"1",,"*",
"1731512848.116098000","172.16.123.188","20.189.173.28","66","62680,443",,"6","0.105636000","0x0002","52",,"2","0","0","True","64240","128",,,
"1731512848.133828000",,,"60",,,,"0.017730000",,,,,,,,,,,,
"1731512848.133828000",,,"60",,,,"0.000000000",,,,,,,,,,,,
"1731512848.133828000",,,"60",,,,"0.000000000",,,,,,,,,,,,
"1731512848.133828000",,,"60",,,,"0.000000000",,,,,,,,,,,,
"1731512848.133828000","172.16.121.53","224.0.0.251","87",,"5353,5353","17","0.000000000",,"73",,,,,"False",,"255",,,
"1731512848.133828000",,,"107",,"5353,5353",,"0.000000000",,,,,,,,,,,,
"1731512848.133828000",,,"144",,"546,547",,"0.000000000",,,,,,,,,,,,
"1731512848.233029000","172.16.123.188","172.16.120.1","83",,"56783,53","17","0.099201000",,"69",,,,,"False",,"128",,,
"1731512848.240278000",,,"130",,,,"0.007249000",,,,,,,,,,,,
"1731512848.240278000",,,"60",,,,"0.000000000",,,,,,,,,,,,
"1731512848.240278000",,,"60",,,,"0.000000000",,,,,,,,,,,,
"1731512848.240278000",,,"60",,,,"0.000000000",,,,,,,,,,,,
"1731512848.240278000",,,"70",,,,"0.000000000",,,,,,,,,,,,
"1731512848.240278000","172.16.120.1","172.16.123.188","227",,"53,56783","17","0.000000000",,"213",,,,,"False",,"64",,,
"1731512848.242139000","172.16.123.188","23.201.47.168","66","62681,80",,"6","0.001861000","0x0002","52",,"3","0","0","True","64240","128",,,
"1731512848.242499000",,,"147",,"546,547",,"0.000360000",,,,,,,,,,,,
"1731512848.253491000","23.201.47.168","172.16.123.188","66","80,62681",,"6","0.010992000","0x0012","52",,"3","0","1","True","64240","58",,,
"1731512848.253714000","172.16.123.188","23.201.47.168","54","62681,80",,"6","0.000223000","0x0010","40",,"3","1","1","True","65536","128",,,
"1731512848.254087000","172.16.123.188","23.201.47.168","165","62681,80",,"6","0.000373000","0x0018","151",,"3","1","1","True","65536","128",,"/connecttest.txt",
"1731512848.267404000","23.201.47.168","172.16.123.188","60","80,62681",,"6","0.013317000","0x0010","40",,"3","1","112","True","64256","58",,,
"1731512848.267959000","23.201.47.168","172.16.123.188","60","80,62681",,"6","0.000555000","0x0011","40",,"3","188","112","True","64256","58","1",,
"1731512848.268039000","172.16.123.188","23.201.47.168","54","62681,80",,"6","0.000080000","0x0010","40",,"3","112","1","True","65536","128","1",,
"1731512848.294683000","23.201.47.168","172.16.123.188","60","80,62681",,"6","0.026644000","0x0011","40",,"3","188","112","True","64256","58","1",,
"1731512848.294754000","172.16.123.188","23.201.47.168","54","62681,80",,"6","0.000071000","0x0010","40",,"3","112","1","True","65536","128","1",,
